title T3s C3s A3s G3s CAI CBI Fop Nc GC3s GC L_sym L_aa Gravy Aromo 
YCD6_________1701_residue 0.2897 0.3310 0.3116 0.3634 0.209 0.030 0.439 57.17 0.528 0.474 540 566 -0.488693 0.093640 
YCD5__________333_residue 0.3494 0.3253 0.3333 0.3200 0.248 0.038 0.435 53.33 0.472 0.421 108 110 -0.248182 0.054545 
YCD3__________507_residue 0.2868 0.3309 0.2719 0.4000 0.201 -0.002 0.421 59.78 0.560 0.490 159 168 -0.648214 0.095238 
STE50________1041_residue 0.2815 0.2815 0.3992 0.3362 0.192 -0.018 0.410 55.52 0.467 0.438 332 346 -0.663295 0.046243 
HIS4_________2400_residue 0.4692 0.2500 0.3238 0.2304 0.283 0.091 0.469 45.96 0.370 0.425 782 799 -0.192866 0.065081 
BIK1_________1323_residue 0.2895 0.3322 0.4576 0.2733 0.187 -0.061 0.398 55.42 0.438 0.438 425 440 -1.036591 0.061364 
FUS1_________1539_residue 0.3643 0.2298 0.3953 0.2812 0.187 -0.077 0.382 57.18 0.390 0.411 495 512 -0.612500 0.078125 
YC08__________579_residue 0.4161 0.2919 0.3241 0.1940 0.252 0.061 0.455 44.09 0.390 0.444 187 192 -0.194792 0.083333 
AGP1_________1902_residue 0.4408 0.2805 0.2830 0.2201 0.268 0.107 0.483 44.83 0.396 0.438 603 633 0.249289 0.121643 
LEU2_________1095_residue 0.4369 0.2901 0.3061 0.1859 0.272 0.114 0.476 34.70 0.382 0.441 353 364 -0.028571 0.049451 
NFS1_________1494_residue 0.4150 0.2476 0.3648 0.1960 0.212 -0.012 0.416 44.53 0.356 0.431 481 497 -0.243461 0.072435 
BUD3_________4104_residue 0.3851 0.2439 0.4436 0.2391 0.202 -0.060 0.389 51.99 0.358 0.380 1348 1367 -0.572860 0.076811 
GBP2_________1284_residue 0.4689 0.2373 0.3805 0.1893 0.208 -0.003 0.430 50.03 0.329 0.426 416 427 -0.961124 0.096019 
ILV6__________930_residue 0.2305 0.4336 0.3024 0.2414 0.193 0.066 0.445 44.07 0.555 0.501 301 309 -0.184790 0.038835 
CWH36_________393_residue 0.3434 0.2525 0.5158 0.2000 0.190 0.059 0.444 49.71 0.341 0.382 126 130 -0.813846 0.069231 
PEL1_________1251_residue 0.3666 0.2669 0.3994 0.2343 0.177 -0.056 0.382 55.50 0.387 0.390 408 416 -0.264663 0.115385 
RER1__________567_residue 0.4082 0.2449 0.4331 0.2035 0.179 -0.055 0.374 44.36 0.339 0.346 174 188 0.055319 0.154255 
CDC10_________969_residue 0.5233 0.1783 0.3592 0.2186 0.209 -0.030 0.402 47.07 0.294 0.371 316 322 -0.380435 0.086957 
MRPL32________552_residue 0.4538 0.1769 0.4745 0.2362 0.203 -0.071 0.379 51.92 0.299 0.375 177 183 -0.920219 0.071038 
YCP4__________744_residue 0.4531 0.2604 0.3300 0.1885 0.264 0.087 0.483 49.55 0.358 0.451 240 247 -0.228340 0.085020 
CIT2_________1383_residue 0.4578 0.1962 0.4327 0.1677 0.226 -0.017 0.406 44.29 0.285 0.398 446 460 -0.333044 0.095652 
YCP7__________720_residue 0.4197 0.2176 0.4451 0.2365 0.214 -0.092 0.368 50.14 0.333 0.363 231 239 -0.101674 0.142259 
SAT4_________1812_residue 0.4864 0.1900 0.4009 0.1889 0.206 -0.082 0.388 47.91 0.291 0.392 580 603 -0.593035 0.069652 
RVS161________798_residue 0.4221 0.2362 0.4505 0.2097 0.226 0.014 0.433 46.57 0.330 0.384 261 265 -0.551698 0.086792 
YCQ0__________852_residue 0.4779 0.2008 0.2921 0.2394 0.240 0.036 0.440 46.41 0.348 0.422 273 283 0.351237 0.148410 
ADP1_________3150_residue 0.4339 0.2073 0.3904 0.2534 0.190 -0.066 0.378 51.18 0.343 0.380 1027 1049 -0.000477 0.102002 
PGK1_________1251_residue 0.4018 0.3776 0.2179 0.2532 0.338 0.271 0.576 26.81 0.498 0.462 410 416 -0.115865 0.067308 
POL4_________1749_residue 0.4543 0.2108 0.4487 0.2447 0.205 -0.071 0.390 52.20 0.323 0.358 564 582 -0.575945 0.104811 
YCQ7_________2862_residue 0.4677 0.2152 0.3462 0.2020 0.211 -0.040 0.389 49.43 0.326 0.396 905 953 0.250787 0.149003 
SRD1__________678_residue 0.4545 0.2121 0.4571 0.1863 0.182 -0.129 0.368 48.99 0.295 0.370 220 225 -1.112445 0.057778 
MAK32________1092_residue 0.3787 0.2558 0.4016 0.2613 0.175 -0.091 0.376 58.83 0.385 0.407 351 363 -0.271901 0.104683 
PET18_________648_residue 0.4182 0.2606 0.4267 0.2214 0.220 -0.063 0.391 52.78 0.357 0.389 207 215 -0.335349 0.144186 
MAK31_________267_residue 0.5143 0.1857 0.2754 0.2097 0.184 0.062 0.420 45.63 0.321 0.394  81  88 0.404545 0.011364 
HSP30_________999_residue 0.4357 0.2607 0.3151 0.2130 0.249 0.044 0.440 47.53 0.377 0.429 316 332 0.355422 0.138554 
YCR3_________1836_residue 0.4708 0.1809 0.4000 0.1938 0.168 -0.121 0.342 47.43 0.288 0.380 584 611 0.058756 0.124386 
SYN_________1479_residues 0.3990 0.2150 0.4862 0.1903 0.177 -0.066 0.382 50.04 0.307 0.373 476 492 -0.388008 0.117886 
YCR6_________2232_residue 0.4080 0.2441 0.4096 0.2629 0.199 -0.072 0.387 52.79 0.370 0.405 711 743 -0.546837 0.114401 
GNS1_________630_residues 0.4518 0.2108 0.3774 0.2238 0.189 -0.025 0.406 58.78 0.332 0.399 202 209 -0.177034 0.066986 
FEN2_________1539_residue 0.4498 0.2081 0.3624 0.2257 0.165 -0.118 0.347 51.34 0.334 0.401 476 512 0.178125 0.134766 
RIM1__________444_residue 0.5315 0.2793 0.3271 0.1782 0.293 0.128 0.517 36.11 0.343 0.395 143 147 -0.797279 0.102041 
CRY1__________414_residue 0.5424 0.2458 0.2522 0.1101 0.306 0.302 0.597 28.50 0.306 0.460 134 137 -0.378102 0.036496 
YCS2________6504_residues 0.4228 0.2271 0.4398 0.2388 0.185 -0.082 0.371 53.12 0.336 0.350 2095 2167 -0.153946 0.118136 
YCS3________3681_residues 0.4461 0.1864 0.4392 0.2107 0.203 -0.050 0.401 52.35 0.302 0.394 1201 1226 -1.003589 0.065253 
GNS1_________1044_residue 0.4545 0.2458 0.3320 0.1947 0.216 -0.014 0.391 44.21 0.349 0.383 335 347 0.358501 0.158501 
RBK1_________1002_residue 0.4885 0.2038 0.3490 0.2402 0.219 0.024 0.435 48.54 0.333 0.396 324 333 -0.243243 0.078078 
PHO87________2772_residue 0.4089 0.2389 0.4020 0.2010 0.214 0.007 0.420 47.61 0.341 0.386 886 923 0.088407 0.095341 
BUD5_________1617_residue 0.3310 0.3125 0.4526 0.2023 0.183 -0.023 0.396 54.42 0.394 0.398 520 538 -0.284387 0.104089 
MATALPHA2_________633_res 0.3636 0.2273 0.4939 0.2177 0.153 -0.108 0.353 58.73 0.328 0.351 204 210 -0.667143 0.052381 
MATALPHA1_________528_res 0.4361 0.2180 0.4228 0.2589 0.231 0.018 0.446 58.29 0.345 0.379 168 175 -0.522857 0.148571 
TSM1_________4224_residue 0.4768 0.1868 0.3871 0.2733 0.197 -0.066 0.383 50.46 0.331 0.368 1359 1407 -0.418621 0.085288 
YCT5________1476_residues 0.2839 0.3920 0.2748 0.3458 0.229 0.024 0.440 59.87 0.560 0.479 477 491 -0.326273 0.107943 
PETCR46_______510_residue 0.1241 0.4526 0.2391 0.4160 0.141 -0.011 0.390 45.17 0.695 0.525 164 169 -0.362130 0.065089 
YCT7________828_residues_ 0.2429 0.3143 0.1722 0.5685 0.209 0.031 0.442 48.69 0.672 0.527 265 275 -0.543273 0.076364 
YCT9_________447_residues 0.1940 0.4627 0.2566 0.2385 0.241 0.240 0.559 45.50 0.615 0.547 143 148 -0.056757 0.074324 
ARE1_________1833_residue 0.1992 0.4419 0.1851 0.4845 0.246 0.079 0.466 48.53 0.698 0.499 573 610 0.035738 0.167213 
RSC6_________1452_residue 0.3057 0.3472 0.3258 0.3163 0.227 0.038 0.443 53.35 0.506 0.459 472 483 -0.744306 0.062112 
THR4_________1545_residue 0.3951 0.3679 0.3653 0.1514 0.303 0.174 0.527 37.49 0.402 0.405 503 514 -0.280350 0.101167 
CTR86________1692_residue 0.4318 0.2416 0.4103 0.2536 0.200 -0.038 0.392 54.03 0.356 0.361 548 563 -0.197513 0.101243 
PWP2_________2772_residue 0.3965 0.2777 0.3778 0.2351 0.227 0.001 0.430 51.97 0.391 0.414 896 923 -0.359263 0.104009 
YCU9_________777_residues 0.2772 0.4703 0.2151 0.3121 0.302 0.155 0.514 55.93 0.608 0.532 245 258 -0.285271 0.089147 
YCV1________1752_residues 0.3184 0.3965 0.2365 0.2487 0.244 0.103 0.472 56.89 0.533 0.499 555 583 0.168782 0.113208 
G10_________474_residues_ 0.2301 0.4690 0.3419 0.3084 0.270 0.118 0.500 52.83 0.566 0.482 152 157 -0.852229 0.082803 
HCM1_________1599_residue 0.3756 0.2703 0.3776 0.2755 0.189 -0.017 0.411 57.13 0.411 0.423 518 532 -0.733271 0.078947 
RAD18________1464_residue 0.4270 0.2162 0.4734 0.1791 0.180 -0.072 0.385 50.13 0.300 0.379 467 487 -0.755852 0.059548 
CYPR_________957_residues 0.3837 0.3527 0.3000 0.2406 0.252 0.063 0.458 53.88 0.458 0.435 310 318 -0.294025 0.103774 
YCW1________366_residues_ 0.3579 0.2316 0.3736 0.3418 0.154 -0.099 0.368 54.99 0.419 0.419 117 121 -0.423967 0.090909 
YCW2________1548_residues 0.4115 0.2488 0.3639 0.2096 0.232 -0.001 0.423 48.00 0.364 0.434 489 515 -0.424854 0.075728 
SSK22________3945_residue 0.3837 0.2287 0.4193 0.2719 0.191 -0.064 0.381 54.11 0.373 0.393 1249 1314 -0.328234 0.099696 
SOL2__________948_residue 0.3295 0.3527 0.2647 0.3059 0.239 0.062 0.458 58.91 0.516 0.495 306 315 -0.251428 0.076190 
ERS1__________783_residue 0.2857 0.2673 0.3430 0.3882 0.179 -0.034 0.387 53.44 0.492 0.433 238 260 0.336154 0.157692 
PAT1_______2394_residues_ 0.3964 0.2799 0.3279 0.2619 0.225 0.043 0.445 50.08 0.417 0.435 769 797 -0.491719 0.069009 
SRB8_________4284_residue 0.3950 0.2687 0.4088 0.2845 0.199 -0.070 0.378 54.92 0.390 0.352 1372 1427 -0.166924 0.113525 
YCX3_________384_residues 0.3608 0.2887 0.3441 0.3012 0.195 -0.078 0.367 53.80 0.442 0.417 120 127 -0.078740 0.086614 
TUP1_________2142_residue 0.3940 0.2827 0.3262 0.2524 0.272 0.089 0.479 51.80 0.421 0.456 699 713 -0.627910 0.054698 
YC16________462_residues_ 0.3229 0.3438 0.1913 0.5963 0.328 -0.029 0.437 45.93 0.649 0.455 151 153 -1.171895 0.078431 
ABP1_________1779_residue 0.4212 0.2988 0.3625 0.2336 0.288 0.050 0.459 47.62 0.397 0.459 579 592 -1.042061 0.060811 
KIN82________2181_residue 0.3646 0.2778 0.4411 0.2149 0.197 -0.033 0.409 55.47 0.374 0.399 706 726 -0.641873 0.079890 
MSH3_________3144_residue 0.4221 0.1959 0.4288 0.2576 0.183 -0.082 0.368 52.47 0.333 0.366 1017 1047 -0.309647 0.079274 
CDC39________6327_residue 0.4196 0.2110 0.4409 0.2068 0.188 -0.059 0.373 49.25 0.316 0.365 2045 2108 -0.091461 0.086338 
YCY4________1176_residues 0.4643 0.1883 0.4209 0.2449 0.197 -0.126 0.352 51.25 0.312 0.368 378 391 -0.421483 0.117647 
A2____________360_residue 0.3448 0.2299 0.5000 0.2317 0.155 -0.080 0.377 56.36 0.342 0.373 114 119 -0.906723 0.067227 
GIT1_________1557_residue 0.5012 0.2028 0.3429 0.1742 0.261 0.047 0.450 44.36 0.295 0.383 491 518 0.267568 0.123552 
YCZ0_________951_residues 0.4704 0.2000 0.4000 0.1939 0.187 -0.112 0.366 51.30 0.298 0.383 309 316 -0.312658 0.110759 
YCZ1________549_residues_ 0.4430 0.2081 0.4646 0.1636 0.162 -0.079 0.368 51.38 0.282 0.372 174 182 -0.128571 0.137363 
YCZ2________1107_residues 0.3974 0.3079 0.3206 0.2278 0.240 0.033 0.434 48.47 0.418 0.443 364 368 -0.124728 0.078804 
YCZ3________336_residues_ 0.3830 0.2553 0.3108 0.3333 0.170 -0.108 0.330 61.00 0.443 0.423 106 111 0.181982 0.135135 
PAU3__________375_residue 0.4128 0.3670 0.2524 0.1075 0.301 0.237 0.554 31.93 0.413 0.478 121 124 0.317742 0.088710 
YCZ5________1086_residues 0.4460 0.2822 0.3235 0.2058 0.248 0.071 0.461 53.17 0.378 0.437 347 361 -0.055956 0.074792 
YCZ6_______2499_residues_ 0.4534 0.2112 0.4206 0.2218 0.183 -0.082 0.368 53.63 0.321 0.369 797 832 -0.156491 0.099760 
YCZ7_______1092_residues_ 0.4877 0.2456 0.3271 0.2152 0.231 -0.039 0.409 55.49 0.349 0.410 347 363 -0.352893 0.107438 
